dataset,model,split,fold,class,num_preds,num_gts,precision,recall,f1-score,mAP@50,mAP@50_95
Merged,Coastline,test,2,swimmer,34168,24850,0.565619230270386,0.467927575111389,0.512156426906586,0.449295311256716,0.116630344707691
Merged,Coastline,test,3,all,6492,21920,0.463662154972553,0.0266005739104003,0.0358728701248765,0.233940551333702,0.155967475168933
Merged,Coastline,test,3,boat,56,10281,0.839285731315613,0.0045715398155152,0.0090935472398996,0.421736801540206,0.294271959625055
Merged,Coastline,test,3,swimmer,6436,11639,0.0880385786294937,0.0486296080052853,0.0626521930098534,0.0461443011271987,0.0176629907128112
Merged,Coastline,test,4,all,16584,46832,0.398650489747524,0.0454126581316814,0.0571190963964909,0.202467116791842,0.126708575827089
Merged,Coastline,test,4,boat,73,21528,0.652777791023254,0.0021832033526152,0.0043518519960343,0.322888350859891,0.22532481775185
Merged,Coastline,test,4,swimmer,16511,25304,0.144523188471794,0.0886421129107475,0.109886340796947,0.0820458827237941,0.0280923339023284
Merged,Coastline,test,5,all,27492,63225,0.301526345312595,0.132484573870897,0.183981813490391,0.176647208413831,0.046155052493092
Merged,Coastline,test,5,boat,8338,20859,0.145530894398689,0.0581523552536964,0.0830992609262466,0.0769914539736037,0.022164564006492
Merged,Coastline,test,5,swimmer,19154,42366,0.457521796226501,0.206816792488098,0.284864366054535,0.276302962854057,0.070145540979692
Merged,Merged,train,0,all,158692,165661,0.963207393884659,0.917415469884872,0.939273655414581,0.955340238271536,0.791846682182166
Merged,Merged,train,0,boat,62953,62638,0.982857704162598,0.97758549451828,0.980214476585388,0.988899220303026,0.917844125891372
Merged,Merged,train,0,swimmer,95739,103023,0.94355708360672,0.857245445251465,0.898332834243774,0.921781256240045,0.66584923847296
Merged,Merged,train,1,all,132508,145117,0.943569391965866,0.871590286493301,0.904187351465225,0.923416378222086,0.727014928740103
Merged,Merged,train,1,boat,56579,55413,0.966685771942139,0.973995268344879,0.970326840877533,0.978466616556274,0.874402199679878
Merged,Merged,train,1,swimmer,75929,89704,0.920453011989594,0.769185304641724,0.838047862052918,0.868366139887899,0.579627657800329
Merged,Merged,train,2,all,134252,141734,0.966314345598221,0.923845112323761,0.944049835205078,0.956658854990565,0.814155012968365
Merged,Merged,train,2,boat,55855,55487,0.984073281288147,0.98549211025238,0.984782218933106,0.990391494362184,0.934795826434882
Merged,Merged,train,2,swimmer,78397,86247,0.948555409908295,0.862198114395142,0.903317451477051,0.922926215618947,0.693514199501848
Merged,Merged,train,3,all,144618,141420,0.941054821014404,0.915487438440323,0.927750647068024,0.94490968682097,0.720947853023137
Merged,Merged,train,3,boat,52666,50749,0.964801669120789,0.973832011222839,0.969295799732208,0.977529126399921,0.8615069716459
Merged,Merged,train,3,swimmer,91952,90671,0.91730797290802,0.857142865657806,0.886205494403839,0.912290247242019,0.580388734400375
Merged,Merged,train,4,all,96574,100247,0.928071200847626,0.885322660207748,0.905633002519608,0.924445417557544,0.682433841230754
Merged,Merged,train,4,boat,45515,43838,0.964055061340332,0.963593244552612,0.963824093341827,0.979985990943117,0.835164737812476
Merged,Merged,train,4,swimmer,51059,56409,0.892087340354919,0.807052075862885,0.847441911697388,0.868904844171971,0.529702944649032
Merged,Merged,train,5,all,111723,120174,0.926220566034317,0.863225340843201,0.893151253461838,0.913038722458989,0.71311214501877
Merged,Merged,train,5,boat,50107,50940,0.972723066806793,0.945779323577881,0.959062039852142,0.968584070813809,0.848945796834154
Merged,Merged,train,5,swimmer,61616,69234,0.879718065261841,0.780671358108521,0.827240467071533,0.857493374104168,0.577278493203386
Merged,Merged,val,0,all,18509,23809,0.869255840778351,0.712326020002365,0.770906835794449,0.815974459858199,0.525850822871376
Merged,Merged,val,0,boat,9607,9209,0.899037420749664,0.912802696228027,0.9058678150177,0.943511994491951,0.720088373708425
Merged,Merged,val,0,swimmer,8902,14600,0.839474260807037,0.511849343776703,0.635945856571198,0.688436925224446,0.331613272034328
Merged,Merged,val,1,all,36772,38271,0.919280081987381,0.881661802530289,0.899900585412979,0.907161856680244,0.564350352342684
Merged,Merged,val,1,boat,13252,13008,0.978366136550903,0.963022768497467,0.970633864402771,0.981057939638368,0.685484138322833
Merged,Merged,val,1,swimmer,23520,25263,0.860194027423859,0.80030083656311,0.829167306423187,0.83326577372212,0.443216566362534
